Date,SPX,Gold,CPI,Bonds,XLRE,XLC,PICK,XAR,KBE,XLY,VPU,VNQ,XBI,VDE,VDC,IYR,IYH,ITA,XHB,XLU,SOXX,KIE,IYE,XLF,VHT,IXP,XME,IYK,IYM,XSD,IYC,IBB,VIS,XLK,ITB,IAT,IYF,XLI,XTN,IYW,IYJ,IDU,VGT,IYT,XLB,XLV,IYZ,VAW,IAK,VCR,VOX,XLP,VFH,SMH,XLE
28/09/2022,3719.040039,53.12,298.812,3.72,33.28074265,48.31285477,30.35092354,93.48245239,41.67784882,146.8658752,138.1034546,72.73019409,81.05671692,93.33007813,165.7481232,77.14040375,50.04228973,91.85372925,55.50356293,63.84231949,109.1443329,34.87191772,36.67906189,29.58432961,219.6107483,52.53833771,42.85355377,57.80754089,105.1673203,158.4213409,60.0043869,118.478981,156.8983307,121.6651535,52.9475708,44.11471939,66.06300354,81.80428314,64.70261383,75.94192505,83.70614624,80.05149078,315.3237305,49.30181122,65.48709869,118.3846054,20.40987015,144.1308594,76.3453598,241.7156677,83.00993347,64.17916107,71.88332367,94.91912079,66.03323364
29/09/2022,3640.469971,53.2,298.812,3.76,32.35451126,47.1363945,30.46666718,90.99207306,40.98735809,141.7917786,132.7294769,70.59315491,78.72086334,93.15676117,163.0309143,74.93798065,49.57374954,89.76371002,53.84264755,61.28274918,105.7496872,34.78595734,36.57741547,29.2124939,217.4871368,51.31157303,42.06555557,56.87792206,103.4675293,153.731842,58.15689468,116.7613144,153.7945557,118.4948502,51.37875366,43.60650635,65.20230865,80.38693237,62.97369385,73.89452362,82.37283325,77.03753662,307.2271118,48.43729019,64.52198029,117.3904343,19.92190933,141.8247833,76.21146393,233.3941193,80.96234131,63.11958313,70.91130829,91.9298172,66.03323364
30/09/2022,3585.620117,53.75,298.812,3.83,32.69957352,46.56274414,30.29750824,90.24398041,40.77561188,139.0010529,130.2392883,71.38564301,79.18003845,92.65507507,160.407074,75.66282654,48.98323822,89.06051636,53.43231964,60.09928894,103.9365845,34.54716873,36.32789612,28.94554329,214.9504242,50.66438293,41.33592606,55.91098785,103.2861023,150.8368683,57.19384003,116.1258774,152.3249054,116.2247543,51.02576828,43.3342514,64.59983063,79.33350372,62.13366699,72.5691452,81.53587341,75.70320129,301.652832,47.46651459,64.35166168,115.7748718,19.59347534,141.434082,75.63765717,229.3259888,79.93370056,62.02283096,70.2507019,90.56970978,65.5056839
03/10/2022,3678.429932,53.64,298.812,3.67,33.30797958,47.86560822,31.49943352,93.25604248,41.84356308,139.1376495,134.0752411,72.65896606,79.83887482,97.71746826,163.2456665,77.0753479,49.91450119,91.63887024,55.54263306,61.86071014,107.5301666,35.36859131,38.28707504,29.72733879,218.9669495,51.84284592,44.32253647,56.92145157,107.0962982,156.6665344,57.83259201,118.3896103,156.9756927,119.8256073,53.10445023,44.5866394,66.34033966,81.7276535,64.00909424,74.83415222,83.8034668,77.91465759,310.8093262,48.59909058,66.44277954,118.1551819,20.39110374,146.389328,77.77030945,230.5063934,82.2432785,63.09169769,72.10983276,93.8183136,69.20753479
04/10/2022,3790.929932,55.13,298.812,3.62,33.83465958,49.33375931,32.95955658,97.11464691,43.74010086,143.9970856,136.9591064,74.12815857,82.85353851,101.9041901,166.0002289,78.57151794,51.09357834,94.67624664,57.95584106,63.17259598,112.5748749,36.74397659,39.94128036,30.83329201,224.3959503,53.37871552,46.00555038,57.93190384,111.0688477,163.7354279,59.91594315,121.7752838,162.6126556,123.8471832,55.48709106,46.41983032,69.00849915,84.57193756,66.69527435,77.47499084,86.77177429,79.53826904,321.6930542,50.56236649,68.88399506,120.8987656,20.97290421,151.6876526,80.59155273,239.4425964,84.79549408,64.04904175,75.05423737,97.83016205,72.18177032
05/10/2022,3783.280029,54.67,298.812,3.76,33.20809937,48.95456696,32.5500145,96.3862381,43.39946365,143.1481476,133.9287567,72.67676544,82.52412415,104.0203552,164.9637451,77.00100708,51.22717285,93.99258423,57.46734238,61.76896667,113.4944611,36.47653961,40.55121613,30.59494209,224.8763733,52.84744263,45.84989166,57.66452408,109.7128296,164.885498,59.6211319,121.9937363,161.8778381,124.2581482,54.92819595,45.93883896,68.48249817,84.1122818,66.17758179,77.69260406,86.74256897,77.8400116,322.713623,50.072155,68.10810089,121.3002625,20.79460716,150.2296448,80.17074585,238.2718811,84.07738495,63.67726135,74.45969391,98.7988739,73.67342377
06/10/2022,3744.52002,55.11,298.812,3.83,32.11841202,48.69204712,32.06032944,95.67751312,42.92993164,142.1333313,129.6533813,70.65549469,82.52412415,105.7351685,162.6293793,74.82646942,50.64828491,93.37728882,57.54550171,59.73232651,113.0412064,36.21865845,41.15190506,30.165905,222.2723999,52.43207932,45.64559555,56.64784622,108.6146393,163.6065674,59.34597397,121.3980026,160.2051086,123.240509,55.1733284,45.23096848,67.55487061,83.1450119,66.1678009,77.24752045,85.77909088,75.28330994,320.2700195,49.75579453,67.38897705,119.7516098,20.47555923,148.7526093,79.501297,236.6329803,83.6309967,62.74779129,73.51597595,98.123703,74.98317719
07/10/2022,3639.659912,54.53,298.812,3.89,31.3556366,47.37946701,31.47272682,94.54551697,41.94483185,137.2446136,126.8886032,68.95478821,78.96042633,104.8777618,160.1923523,73.07009888,49.6415062,92.98664093,55.85528183,58.49382782,106.2583847,35.54051208,40.83769226,29.45084763,217.1988983,51.0604248,44.35172272,55.74620438,105.8548813,154.3267517,57.48865128,117.9924622,156.6855927,118.1719437,53.73197556,44.16009903,65.94824219,81.55529785,64.08725739,73.89452362,83.92024994,73.65036011,306.9425964,48.30205917,65.7236557,117.2183685,19.82807159,144.7693329,78.22937012,228.7796631,81.32138824,61.80903625,71.69459534,92.27229309,74.40106201
10/10/2022,3612.389893,53.9,298.812,3.89,31.00149536,47.25306702,31.49053192,95.13613892,41.74229431,136.3956604,127.1265869,68.30476379,77.5129776,102.7251129,160.8552856,72.25233459,49.27366257,93.79724884,55.97252274,58.59474182,102.645256,35.79840088,40.01521301,29.31736946,215.382843,50.80927277,44.73112869,55.97938919,106.5328827,149.6670074,57.16435242,117.1088104,157.149704,116.1856232,53.72217178,43.91506577,65.66136169,81.84259796,63.85282516,72.48012543,83.69641113,73.70633698,301.3977051,48.25133896,65.86560059,116.4822693,19.63101387,145.484024,78.65015411,227.1797333,80.9332428,62.03210831,71.43035126,89.19002533,72.87303162
11/10/2022,3588.840088,53.52,298.812,3.93,31.29206848,46.3682785,31.09879303,94.61443329,41.50292969,135.2832947,126.9801025,68.99928284,78.13189697,101.9589081,162.3212585,73.05152893,49.49629974,93.76796722,56.08975983,58.38373566,99.75930786,35.79840088,39.77493668,28.94554329,216.5743561,49.89162064,44.31280899,56.40222549,105.682991,146.5637817,56.7319603,117.32724,156.7726288,114.4047775,53.73197556,43.28887177,64.81021881,81.82343292,63.43280029,71.27344513,83.15142059,73.55703735,296.4906616,47.77320099,65.35462952,117.1036453,19.34010887,144.63591,78.72666931,225.872467,79.56492615,62.54331207,70.62817383,86.37684631,72.29090881
